Name, Birthyear, Birthplace, Deathyear, Deathcause, Award, Height, Religion
Otto Kissenberth, 1893, NA, 1919, NA, 6, NA, NA
Otto Kohlermann, 1896, Germany, 1984, NA, 32, NA, NA
Otto Kron, 1911, Germany, 1955, NA, 7, NA, NA
Otto Kähler, 1894, NA, 1967, NA, 32, NA, NA
Otto Könnecke, 1892, NA, 1956, NA, 4, NA, NA
Otto Lancelle, 1884, Germany, 1955, NA, 2, NA, NA
Otto Maass, 1890, NA, 1961, NA, 2, NA, NA
Otto Marling Lund, 1891, NA, 1956, NA, 2, NA, NA
Otto Maurer, 1905, NA, 1982, NA, 32, NA, NA
Otto Menges, 1917, NA, 1944, NA, 32, NA, NA
Otto Meyer (SS officer), 1912, Germany, 1944, NA, 3, NA, NA
Otto Nordt, 1902, Germany, 1976, NA, 32, NA, NA
Otto P. Weyland, 1903, NA, 1979, NA, 7, NA, NA
Otto Paetsch, 1909, Germany, 1945, NA, 4, NA, NA
Otto Parschau, 1890, NA, 1916, NA, 3, NA, NA
Otto Piene, 1928, NA, 2014, NA, 37, NA, NA
Otto Pollmann, 1915, NA, 1958, NA, 32, NA, NA
Otto Porsch, 1875, NA, 1959, NA, 12, NA, NA
Otto Prager, 1912, NA, 1945, NA, 4, NA, NA
Otto Ritz, 1920, Germany, 1945, NA, 32, NA, NA
Otto Ruff, 1871, NA, 1939, NA, 12, NA, NA
Otto Schell, 1895, Germany, 1944, NA, 32, NA, NA
Otto Schmidt-Hartung, 1892, Germany, 1976, NA, 32, NA, NA
Otto Schmidt (aviator), 1885, Germany, 1944, NA, 2, NA, NA
Otto Schneider (SS officer), 1921, NA, 2001, NA, 2, NA, NA
Otto Schniewind, 1887, NA, 1964, NA, 32, NA, NA
Otto Schuhart, 1909, Germany, 1990, NA, 2, NA, NA
Otto Schultz, 1920, NA, 2013, NA, 32, NA, NA
Otto Schultze, 1884, NA, 1966, NA, 14, NA, NA
Otto Schulz, 1911, Poland, 1942, NA, 12, NA, NA
Otto Schulz (admiral), 1900, NA, 1974, NA, 32, NA, NA
Otto Schury, 1903, Germany, 1979, NA, 32, NA, NA
Otto Schwarzer, 1906, Germany, 1976, NA, 32, NA, NA
Otto Schünemann, 1891, Germany, 1944, NA, 32, NA, NA
Otto Sponheimer, 1886, Germany, 1961, NA, 32, NA, NA
Otto Stangel, 1889, NA, 1956, NA, 40, NA, NA
Otto Stapf (officer), 1890, Germany, 1963, NA, 32, NA, NA
Otto Sydow, 1896, Germany, 1970, NA, 32, NA, NA
Otto Tange, 1915, Germany, 1943, NA, 32, NA, NA
Otto Tiemann, 1890, Germany, 1952, NA, 32, NA, NA
Otto Ude, 1911, Germany, 1987, NA, 32, NA, NA
Otto Vincon, 1906, Germany, 1945, NA, 32, NA, NA
Otto Voit, 1845, Germany, 1906, NA, 14, NA, NA
Otto Weiß (pilot), 1907, NA, 1955, NA, 32, NA, NA
Otto Westphalen, 1920, NA, 2008, NA, 32, NA, NA
Otto Weßling, 1913, Germany, 1944, NA, 32, NA, NA
Otto Wöhler, 1894, NA, 1987, NA, 32, NA, NA
Otto von Bülow, 1911, NA, 2006, NA, 2, NA, NA
Otto von Fürth, 1867, NA, 1938, NA, 12, NA, NA
Otto von Knobelsdorff, 1886, NA, 1966, NA, 32, NA, NA
Otto von Schrader, 1888, NA, 1945, NA, 32, NA, NA
Otway Herbert, 1901, NA, 1984, NA, 3, NA, NA
Ouvry Lindfield Roberts, 1898, NA, 1986, NA, 3, NA, NA
Ova A. Kelley, 1914, NA, 1944, NA, 14, NA, NA
Ovadia Hedaya, 1889, NA, 1969, NA, 12, NA, NA
Ovila Cayer, 1844, NA, 1909, NA, 14, NA, NA
Owen Baldwin, 1893, NA, 1942, NA, 3, NA, NA
Owen Mead, 1892, NA, 1942, NA, 3, NA, NA
Owen Morshead, 1893, NA, 1977, NA, 6, NA, NA
Owen Philipps 1st Baron Kylsant, 1863, NA, 1937, NA, 2, NA, NA
Owen Scholte, 1896, NA, 1918, NA, 14, NA, NA
Owen Tudor Boyd, 1889, NA, 1944, NA, 5, NA, NA
Oyyarathu Chandu Menon, 1847, India, 1899, NA, 11, NA, NA
Yoʻldosh Aʼzamov, 1909, NA, 1985, NA, 27, NA, NA
Yrjö Vesa, 1898, NA, 1967, NA, 5, NA, NA
Yuan Geng, 1917, NA, 2016, NA, 18, NA, NA
Yue-Kong Pao, 1918, NA, 1991, NA, 2, NA, NA
Yujiro Hayami, 1932, NA, 2012, NA, 2, NA, NA
Yukio Okutsu, 1921, NA, 2003, NA, 2, NA, NA
Yuri Alexandrovich Orlov, 1893, NA, 1966, NA, 3, NA, NA
Yuri Leonidovich Belousov, 1945, NA, 2000, NA, 14, NA, NA
Yuri Neprintsev, 1909, NA, 1996, NA, 3, NA, NA
Yuri Tulin, 1921, NA, 1988, NA, 18, NA, NA
Yuri Vasilyevich Prokhorov, 1929, NA, 2013, NA, 2, NA, NA
Yuri Yappa, 1927, NA, 1998, NA, 34, NA, NA
Yury Gilsher, 1894, NA, 1917, NA, 4, NA, NA
Yury Votintsev, 1919, Uzbekistan, 2005, NA, 6, NA, NA
Yusif Mammadaliyev, 1905, NA, 1961, NA, 3, NA, NA
Yves F. Barbaza, 1893, Egypt, 1971, NA, 2, NA, NA
Yves Fortier (geologist), 1914, NA, 2014, NA, 2, NA, NA
Yves Godard, 1911, France, 1975, NA, 16, NA, NA
Yves Rocher, 1930, France, 2009, Stroke, 2, NA, NA
Yvette Brind'Amour, 1918, NA, 1992, NA, 2, NA, NA
Yvette Guilbert, 1865, France, 1944, NA, 16, NA, NA
Yvonne Brill, 1924, NA, 2013, NA, 3, NA, NA
Yvonne Cormeau, 1909, NA, 1997, NA, 4, NA, NA
Yūji Aoki, 1945, NA, 2003, NA, 2, NA, NA
Y. B. Rowdy (Medal of Honor), NA, NA, 1893, NA, 14, NA, NA
Ya'akov Cohen (writer), 1881, Belarus, 1960, NA, 2, NA, NA
Yaakov Shabtai, 1934, NA, 1981, NA, 15, NA, NA
Yakov Agranov, 1893, NA, 1938, NA, 23, NA, NA
Yakov Alksnis, 1897, Latvia, 1938, NA, 3, NA, NA
Yakov Polonsky, 1819, Russia, 1898, NA, 13, NA, NA
Yakov Smushkevich, 1902, NA, 1941, NA, 3, NA, NA
Yanette Delétang-Tardif, 1902, NA, 1976, NA, 14, NA, NA
Yang Sen (1884–1977), 1884, NA, 1977, NA, 31, NA, NA
Yannoulis Chalepas, 1851, Greece, 1938, NA, 26, NA, NA
Yaroslav Nikolaev, 1899, NA, 1978, NA, 2, NA, NA
Yash Chopra, 1932, NA, 2012, Dengue fever, 13, NA, NA
Yashwant Vithoba Chittal, 1928, NA, 2014, NA, 3, NA, NA
Yates Stirling Jr., 1872, NA, 1948, NA, 3, NA, NA
Yechiel Shemi, 1922, NA, 2003, NA, 12, NA, NA
Yehuda Kiel, 1916, NA, 2011, NA, 12, NA, NA
Yelena Bonner, 1923, NA, 2011, NA, 7, NA, NA
Yemima Avidar-Tchernovitz, 1909, Lithuania, 1998, NA, 2, NA, NA
Yeshayahu Leibowitz, 1903, NA, 1994, NA, 12, NA, Jews
Yevdokia Bershanskaya, 1913, NA, 1982, NA, 5, NA, NA
Yevgeni Ivanovski, 1918, NA, 1991, NA, 7, NA, NA
Yevgeni Nikolayev, 1921, NA, 1990, NA, 3, NA, NA
Yevgenii Vasilevich Zolotov, 1922, NA, 1990, NA, 19, NA, NA
Yevgeny Matveyev, 1922, NA, 2003, NA, 3, NA, NA
Yevgeny Morgunov, 1927, NA, 1999, NA, 18, NA, NA
Yevgeny Shapovalov, 1904, NA, 1977, NA, 4, NA, NA
Yevgeny Zavoisky, 1907, NA, 1976, NA, 2, NA, NA
Yevgraf Kruten, 1890, Ukraine, 1917, NA, 6, NA, NA
Yiannis Spyropoulos, 1912, NA, 1990, NA, 26, NA, NA
Yitzhak Arieli, 1896, NA, 1974, NA, 12, NA, NA
Yohai Ben-Nun, 1924, NA, 1994, NA, 23, NA, NA
Yohanan Simon, 1905, Germany, 1976, NA, 15, NA, NA
Yosef Yekutieli, 1897, NA, 1982, NA, 3, NA, NA
Yoshimitsu Morita, 1950, Japan, 2011, NA, 32, NA, NA
Yoshinori Yagi, 1911, Japan, 1999, NA, 2, NA, NA
Yoshishige Abe, 1883, Japan, 1966, NA, 13, NA, NA
Francesco de Pinedo, 1890, Italy, 1933, NA, 2, NA, NA
Francis A. Waller, 1840, NA, 1911, NA, 14, NA, NA
Francis Adrian Wilson, 1874, NA, 1954, NA, 4, NA, NA
Francis Ambrière, 1907, NA, 1998, NA, 13, NA, NA
Francis B. Wai, 1917, NA, 1944, NA, 3, NA, NA
Francis Birch (geophysicist), 1903, United States, 1992, NA, 7, NA, NA
Francis Bowditch Wilby, 1883, NA, 1965, NA, 2, NA, NA
Francis Brambell, 1901, NA, 1970, NA, 2, NA, NA
Francis Brian Shorland, 1909, NA, 1999, NA, 2, NA, NA
Francis Bridgeman (Royal Navy officer), 1848, NA, 1929, NA, 2, NA, NA
Francis Brooke-Smith, 1918, NA, 1952, NA, 12, NA, NA
Francis Buckley, 1921, NA, 2016, NA, 15, NA, NA
Francis Bull, 1887, NA, 1974, NA, 17, NA, NA
Francis C. Florini, 1919, NA, 2008, NA, 2, NA, NA
Francis C. Green, 1835, United States, 1905, NA, 14, NA, NA
Francis C. Hammond, 1931, NA, 1953, NA, 2, NA, NA
Francis Charles Fraser, 1903, NA, 1978, NA, 13, NA, NA
Francis Clark Howell, 1925, NA, 2007, NA, 3, NA, NA
Francis Clery, 1838, Ireland, 1926, NA, 2, NA, NA
Francis Cogswell, 1887, NA, 1939, NA, 10, NA, NA
Francis Colborne, 1817, Italy, 1895, NA, 17, NA, NA
Francis Cole, 1872, NA, 1959, NA, 13, NA, NA
Francis Crake, 1893, NA, 1920, NA, 14, NA, NA
Francis Criss, 1901, NA, 1973, NA, 21, NA, NA
Francis Cromie, 1882, Ireland, 1918, NA, 8, NA, NA
Francis Cubbon, 1892, NA, 1917, NA, 14, NA, NA
Francis Davidson, 1892, NA, 1973, NA, 4, NA, NA
Francis Davies (British Army officer), 1864, NA, 1948, NA, 3, NA, NA
Francis Dominic Casey, 1890, NA, 1917, NA, 2, NA, NA
Francis Douglas 11th Marquess of Queensberry, 1896, NA, 1954, NA, 3, NA, Catholic Church
Francis E. Brownell, 1840, NA, 1894, NA, 14, NA, NA
Francis E. Ormsbee Jr., 1892, NA, 1936, NA, 14, NA, NA
Francis Earl Johnston, 1871, New Zealand, 1917, NA, 2, NA, NA
Francis Fane 12th Earl of Westmorland, 1825, NA, 1891, NA, 3, NA, NA
Francis Fogarty, 1899, NA, 1973, NA, 5, NA, NA
Francis Fressanges, 1902, NA, 1975, NA, 4, NA, NA
Francis Greenlief, 1921, NA, 1999, NA, 5, NA, NA
Francis Guerrier, 1896, France, 1969, NA, 3, NA, NA
Francis H. Griswold, 1904, NA, 1989, NA, 3, NA, NA
Francis Harvey, 1873, NA, 1916, NA, 14, NA, NA
Francis Howard (British Army officer), 1848, NA, 1930, NA, 2, NA, NA
Francis J. Clark, 1912, NA, 1981, NA, 14, NA, NA
Francis James Davies, 1889, NA, 1941, NA, 43, NA, NA
Francis John Linnell, 1892, NA, 1944, NA, 3, NA, NA
Francis Junior Pierce, 1924, NA, 1986, NA, 2, NA, NA
Francis Kelly (British Army officer), 0026, NA, 0018, NA, 2, NA, NA
Francis Kelly (Medal of Honor), 1860, NA, 1938, NA, 14, NA, NA
Francis Kitto, 1897, NA, 1926, NA, 14, NA, NA
Francis L. Sampson, 1912, NA, 1996, NA, 3, NA, NA
Francis Laforey, 1767, United States, 1835, NA, 17, NA, NA
Francis Lloyd (British Army officer), 1853, NA, 1926, NA, 3, NA, NA
Francis M. Cunningham, 1837, NA, 1919, NA, 14, NA, NA
Francis M. Fesmire, 1959, United States, 2014, NA, 14, NA, NA
Francis Matthews (British Army officer), 1903, NA, 1976, NA, 2, NA, NA
Francis May Simonds, 1894, NA, 1961, NA, 15, NA, NA
Francis Mellersh (RAF officer), 1898, NA, 1955, NA, 2, NA, NA
Francis Mitchell (British Army officer), 1904, NA, 1954, NA, 3, NA, NA
Francis Morphet Twisleton, 1873, NA, 1917, NA, 14, NA, NA
Francis Morrison (Medal of Honor), 1845, NA, 1913, NA, 14, NA, NA
Francis Norman, 1830, NA, 1901, NA, 6, NA, NA
Francis Nosworthy, 1887, NA, 1971, NA, 3, NA, NA
Francis O. Schmitt, 1903, NA, 1995, NA, 3, NA, NA
Francis Oliver (Medal of Honor), 1832, United States, 1880, NA, 14, NA, NA
Francis P. Mulcahy, 1894, NA, 1973, NA, 48, NA, NA
Francis Palmer Selleck, 1895, NA, 1976, NA, 14, NA, NA
Francis Parker Shepard, 1897, NA, 1985, NA, 2, NA, NA
Francis Plunkett Dunne, NA, NA, 1874, NA, 19, NA, NA
Francis Richard Bingham, 1863, NA, 1935, NA, 2, NA, NA
Francis Richter, 1854, NA, 1926, NA, 23, NA, NA
Francis Rome, 1905, NA, 1985, NA, 4, NA, NA
Francis Ronald Swain, 1903, NA, 1989, NA, 4, NA, NA
Francis Rose, 1921, NA, 2006, NA, 27, NA, NA
Francis S. Hesseltine, 1833, NA, 1916, NA, 14, NA, NA
Francis S. Symondson, 1897, NA, 1975, NA, 2, NA, NA
Francis Spring Walker, 1876, NA, 1941, NA, 2, NA, NA
Francis St David Benwell Lejeune, 1899, NA, 1984, NA, 2, NA, NA
Francis Stewart Montague-Bates, 1876, NA, 1954, NA, 7, NA, NA
Francis T. Ryan, 1862, NA, 1927, NA, 14, NA, NA
Francis Tennille, 1747, NA, 1819, NA, 25, NA, NA
Francis Thomas Evans Sr., 1886, NA, 1974, NA, 42, NA, NA
Francis Tottenham, 1880, NA, 1967, NA, 2, NA, NA
Francis Ventris, 1857, NA, 1929, NA, 17, NA, NA
Francis W. Rockwell (admiral), 1886, NA, 1979, NA, 3, NA, NA
Francis Ward (British Army officer), 1840, NA, 1919, NA, 17, NA, NA
Francis Wheler, 1656, NA, 1694, NA, 6, NA, NA
Francis Whitmore, 1872, NA, 1962, NA, 4, NA, NA
Francis William Billado, 1907, NA, 1966, NA, 15, NA, NA
Francis William Farrell, 1900, NA, 1981, NA, 4, NA, NA
Francis X. McGraw, 1918, NA, 1944, NA, 14, NA, NA
Francis X. McInerney, 1899, NA, 1956, NA, 4, NA, NA
Francis X. Schumacher, 1892, NA, 1967, NA, 2, NA, NA
Francisca Reyes-Aquino, 1899, NA, 1983, NA, 2, NA, NA
Francisco José Cróquer, 1920, Venezuela, 1955, NA, 43, NA, NA
Francisco Luis Héctor de Carondelet, 1748, NA, 1807, NA, 33, NA, NA
Francisco Mercado Jr., 1920, NA, 2005, NA, 2, NA, NA
Francisco Moreno, 1852, NA, 1919, NA, 25, NA, NA
Franciszek Gągor, 1951, Poland, 2010, NA, 6, NA, NA
Franciszek Jerzy Jaskulski, 1913, NA, 1947, NA, 3, NA, NA
Franciszek Mączyński, 1874, NA, 1947, NA, 28, NA, NA
Franco Bordoni, 1913, NA, 1975, NA, 2, NA, NA
Franco Lucchini, 1917, Italy, 1943, NA, 4, NA, NA
Frank A. Keating, 1895, NA, 1973, NA, 3, NA, NA
Frank A. McClintock, 0921, NA, 2011, NA, 5, NA, NA
Frank Alberry, 1892, NA, 1969, NA, 27, NA, NA
Frank Albert Young, 1876, NA, 1941, NA, 14, NA, NA
Frank Allen (physicist), 1874, NA, 1965, NA, 25, NA, NA
Frank Barsalona, 1938, NA, 2012, NA, 26, NA, NA
Frank Bell (aviator), 1897, NA, 1960, NA, 26, NA, NA
Frank Berryman, 1894, NA, 1981, NA, 6, NA, NA
Frank Billinge, 1894, NA, 1928, NA, 43, NA, NA
Frank Bladin, 1898, NA, 1978, NA, 4, NA, NA
Frank Bonilla, 1925, NA, 2010, NA, 17, NA, NA
Frank Bourne, 1854, NA, 1945, NA, 2, NA, NA
Frank Buckles, 1901, NA, 2011, NA, 3, NA, NA
Frank Burke (Medal of Honor), 1918, NA, 1988, NA, 14, NA, NA
Frank Bustard, 1886, NA, 1974, NA, 27, NA, NA
Frank C. High, 1875, NA, 1966, NA, 14, NA, NA
Frank Caldwell, 1921, NA, 2014, NA, 2, NA, NA
Frank Conrad, 0004, NA, 0004, NA, 4, NA, NA
Frank Cooke (engineer), 1913, NA, 2005, NA, 15, NA, NA
Frank D. Peregory, 1916, NA, 1944, NA, 2, NA, NA
Frank Dawson Adams, 1859, NA, 1942, NA, 3, NA, NA
Frank E. Fesq, 1840, Germany, 1920, NA, 14, NA, NA
Frank E. Hill (Medal of Honor), 1850, NA, 1906, NA, 14, NA, NA
Frank E. Snodgrass, 1920, NA, 1985, NA, 2, NA, NA
Frank Ebenezer Hill, 1880, NA, 1932, NA, 14, NA, NA
Frank Edmund Beatty Jr., 1894, NA, 1976, NA, 3, NA, NA
Frank Evers Beddard, 1858, NA, 1925, NA, 13, NA, NA
Frank Ewart Smith, 1897, NA, 1995, NA, 13, NA, NA
Frank F. Everest, 1904, NA, 1983, NA, 4, NA, NA
Frank Finnis, 1851, NA, 1918, NA, 21, NA, NA
Frank G. Butterfield, 1842, NA, 1916, NA, 14, NA, NA
Frank G. Fahrion, 1894, NA, 1970, NA, 2, NA, NA
Frank Gaffney (Medal of Honor), 1883, NA, 1948, NA, 14, NA, NA
Frank George Gibbons, 1899, NA, 1932, NA, 43, NA, NA
Frank Goettge, 1895, NA, 1942, NA, 15, NA, NA
Frank Gross, 1919, NA, 2006, NA, 34, NA, NA
Frank Hamer (British Army officer), 1919, NA, 2009, NA, 14, NA, NA
Frank Harbord, 1918, NA, 2010, NA, 26, NA, NA
Frank Harold Taylor, 1896, NA, 1985, NA, 14, NA, NA
Frank Hasse, 1917, NA, 1944, NA, 3, NA, NA
Frank Hassett, 1918, Australia, 2008, NA, 6, NA, NA
Frank Headlam, 1914, NA, 1976, NA, 2, NA, NA
Frank Hobson, 1894, NA, 1919, NA, 14, NA, NA
Frank Hopkins (Royal Navy officer), 1910, NA, 1990, NA, 3, NA, NA
Frank Horton (physicist), 1878, NA, 1957, NA, 13, NA, NA
Frank Hudson, 1897, NA, 1922, NA, 14, NA, NA
Frank Inglis, 1899, NA, 1969, NA, 4, NA, NA
Frank J. Lowry, 1888, NA, 1955, NA, 4, NA, NA
Frank J. Petrarca, 1918, NA, 1943, NA, 2, NA, NA
Frank Johnson (aviator), 1896, NA, 1961, NA, 27, NA, NA
Frank Keith Simmons, 1888, NA, 1952, NA, 3, NA, NA
Frank Kerr Hays, 1896, NA, 1988, NA, 43, NA, NA
Frank King (British Army officer), 1919, NA, 1998, NA, 2, NA, NA
Frank Kurtz, 1911, NA, 1996, NA, 5, NA, NA
Frank L. Anders, 1875, NA, 1966, NA, 2, NA, NA
Frank Larken, 1875, NA, 1953, NA, 2, NA, NA
Frank Leaman Baylies, 1895, NA, 1918, NA, 3, NA, NA
Frank Lee Pyman, 1882, NA, 1944, NA, 13, NA, NA
Frank Leslie (Medal of Honor), 1841, NA, 1882, NA, 14, NA, NA
Frank Lucien Hale, 1895, NA, 1944, NA, 43, NA, NA
Frank Lukis, 1896, NA, 1966, NA, 2, NA, NA
Frank Manley, 1930, NA, 2009, NA, 2, NA, NA
Frank McIntyre, 1865, NA, 1944, NA, 3, NA, NA
Frank McKenna (RAF officer), 1906, NA, 1994, NA, 27, NA, NA
Frank Miller (Medal of Honor), 1848, NA, 1903, NA, 14, NA, NA
Frank Monroe Upton, 1896, NA, 1962, NA, 14, NA, NA
Frank Neubert, 1915, Germany, 2003, NA, 32, NA, NA
Frank Newby, 1926, NA, 2001, NA, 35, NA, NA
Frank O'Driscoll Hunter, 1894, NA, 1982, NA, 5, NA, NA
Frank O. Fournia, 1873, NA, 1912, NA, 14, NA, NA
Frank O. Slater, 1920, NA, 1942, NA, 2, NA, NA
Frank Ormond Soden, 1895, Canada, 1961, NA, 43, NA, NA
Frank P. Lahm, 1877, NA, 1963, NA, 2, NA, NA
Frank Parker (general), 1872, NA, 1947, NA, 2, NA, NA
Frank Pasquill, 1914, NA, 1994, NA, 2, NA, NA
Frank Paton, 1855, NA, 1909, NA, 21, NA, NA
Frank Pegram, 1890, NA, 1944, NA, 17, NA, NA
Frank Philip Bowden, 1903, NA, 1968, NA, 3, NA, NA
Frank Potter, 1891, NA, 1917, NA, 14, NA, NA
Frank R. Fratellenico, 1951, NA, 1970, NA, 2, NA, NA
Frank Ransley, 1897, NA, 1992, NA, 2, NA, NA
Frank Reginald Carey, 1912, NA, 2004, NA, 5, NA, NA
Frank Rennie, 1918, New Zealand, 1992, NA, 3, NA, NA
Frank Rhodes (British Army officer), 1850, NA, 1905, NA, 4, NA, NA
Frank S. Gile, 1847, NA, 1898, NA, 14, NA, NA
Frank Schwable, 1908, NA, 1988, NA, 15, NA, NA
Frank Scully, 1892, NA, 1964, NA, 30, NA, NA
Frank Shuster, 1916, NA, 2002, NA, 15, NA, NA
Frank Simpson (British Army officer), 1899, NA, 1986, NA, 3, NA, NA
Frank Simpson (cricketer), 1909, NA, 1992, NA, 2, NA, NA
Frank T.O. Walker, 1878, NA, 1904, NA, 14, NA, NA
Frank Taylor (journalist), 1920, NA, 2002, NA, 27, NA, NA
Frank Tolan, NA, United States, 1899, NA, 14, NA, NA
Frank Tolles Chamberlin, 1873, NA, 1961, NA, 10, NA, NA
Frank Tompkins, 1868, NA, 1954, NA, 3, NA, NA
Frank Tremar Sibly Menendez, 1896, NA, 1973, NA, 14, NA, NA
Frank Twiss, 1910, NA, 1994, NA, 3, NA, NA
Frank Vale, 1908, NA, 2006, NA, 11, NA, NA
Frank W. Coe, 1870, NA, 1947, NA, 3, NA, NA
Frank W. J. Olver, 1924, United Kingdom, 2013, NA, 36, NA, NA
Frank W. Milburn, 1892, NA, 1962, NA, 4, NA, NA
Frank W. Wozencraft, 1892, NA, 1966, NA, 2, NA, NA
Frank Watkins (pilot), 1922, NA, 1942, NA, 23, NA, NA
Frank Weare, 1896, NA, 1971, NA, 14, NA, NA
Frank West (Medal of Honor), 1850, NA, 1923, NA, 14, NA, NA
Frank William Crilley, 1883, NA, 1947, NA, 2, NA, NA
Frank Woodrow O'Flaherty, 1918, NA, 1942, NA, 10, NA, NA
Frank Wormald, 1868, NA, 1915, NA, 2, NA, NA
Frank Worth Elliott Jr., 1924, NA, 1997, NA, 8, NA, NA
Frankie Zoly Molnar, 1943, NA, 1967, NA, 3, NA, NA
Franklin A. Hart, 1894, NA, 1967, NA, 3, NA, NA
Franklin C. Sibert, 1891, NA, 1980, NA, 3, NA, NA
Franklin Carr (soldier), 1844, NA, 1904, NA, 14, NA, NA
Franklin D. Miller, 1945, NA, 2000, NA, 4, NA, NA
Franklin E. Roach, 1905, NA, 1993, NA, 33, NA, NA
Franklin J. Phillips, 1874, NA, 1900, NA, 14, NA, NA
Franklin L. Wilcox, 1830, NA, 1898, NA, 14, NA, NA
Franklin Matthias, 1908, NA, 1993, NA, 39, NA, NA
Franklin Richard Bruns Jr., 1912, NA, 1979, NA, 40, NA, NA
Franklin Simon, 1865, NA, 1934, NA, 16, NA, NA
Franklin W. Lutes, 1840, NA, 1915, NA, 14, NA, NA
Frans Depooter, 1898, Belgium, 1987, NA, 3, NA, NA
Frans Hemerijckx, 1902, NA, 1969, NA, 10, NA, NA
František Fajtl, 1912, NA, 2006, NA, 5, NA, NA
Franz-Eugen Betz, 1917, Germany, 1942, NA, 32, NA, NA
Franz-Josef Beerenbrock, 1920, NA, 2004, NA, 32, NA, NA
Franz-Josef Dreike, 1910, Germany, 1988, NA, 2, NA, NA
Franz-Josef Högl, 1916, Austria, 1996, NA, 32, NA, NA
Franz-Joseph Schulze, 1918, Germany, 2005, NA, 32, NA, NA
Franz-Xaver Attenberger, 1915, Germany, 1991, NA, 32, NA, NA
Franz Ammann, 1919, Germany, 1943, NA, 32, NA, NA
Franz Anton Itrich, 1853, NA, 1933, NA, 14, NA, NA
Franz Barten, 1912, Germany, 1944, NA, 3, NA, NA
Franz Berger (officer), 1916, Austria, 1942, NA, 32, NA, NA
Franz Beyer (general), 1892, Germany, 1968, NA, 32, NA, NA
Franz Beyer (pilot), 1918, NA, 1944, NA, 32, NA, NA
Franz Brandt, 1893, NA, 1954, NA, 2, NA, NA
Franz Bredemeyer, 1913, Germany, 1985, NA, 32, NA, NA
Franz Budka, 1920, NA, 1945, NA, 2, NA, NA
Franz Büchner, 1898, NA, 1920, NA, 5, NA, NA
Franz Danowski, 1917, Germany, 1944, NA, 32, NA, NA
Franz Dutter, 1917, Austria, 1996, NA, 32, NA, NA
Franz Dörr, 1913, NA, 1972, NA, 32, NA, NA
Franz Eckerle, 1912, NA, 1942, NA, 32, NA, NA
Franz Eisenach, 1918, NA, 1998, NA, 32, NA, NA
Franz Frauscher, 1920, NA, 1990, NA, 3, NA, NA
Franz Frey, 1837, NA, 1900, NA, 14, NA, NA
Franz Gall (general), 1884, Germany, 1944, NA, 32, NA, NA
Franz Graf von Bellegarde, 1912, Austria, 1941, NA, 32, NA, NA
Franz Graßmel, 1906, NA, 1985, NA, 32, NA, NA
Franz Griesbach, 1892, NA, 1984, NA, 32, NA, NA
Franz Grohmann, 1919, NA, 2000, NA, 4, NA, NA
Franz Gräser, 1892, NA, 1918, NA, 3, NA, NA
Franz Gössmann, 1909, Germany, 1945, NA, 32, NA, NA
Franz Götz (pilot), 1913, NA, 1980, NA, 32, NA, NA
Franz Hack, 1915, Germany, 1997, NA, 7, NA, NA
Franz Hemer, 1894, NA, 1982, NA, 2, NA, NA
Franz Hillenkamp, 1936, Germany, 2014, NA, 17, NA, NA
Franz Hofbauer, 1921, Austria, 1994, NA, 32, NA, NA
Franz Hrdlicka, 1920, Germany, 1945, NA, 32, NA, NA
Franz Jasiek, 1915, Germany, 1982, NA, 32, NA, NA
Franz Josef Krombholz, 1920, NA, 2000, NA, 4, NA, NA
Franz Joseph Marquis de Lusignan, 1753, Spain, 1832, NA, 31, NA, NA
Franz Juschkat, 1917, Germany, 1967, NA, 32, NA, NA
Franz Karl (general), 1888, Germany, 1964, NA, 32, NA, NA
Franz Kieslich, 1913, Germany, 2012, NA, 32, NA, NA
Franz Kleffner, 1907, Germany, 1945, NA, 4, NA, NA
Franz Kohlauf, 1910, NA, 1944, NA, 32, NA, NA
Franz Kramer, 1865, NA, 1924, NA, 14, NA, NA
Franz Lahner, 1893, Austria, 1966, NA, 2, NA, NA
Franz Landgraf, 1888, Germany, 1944, NA, 32, NA, NA
Franz Liebisch, 1921, NA, 1945, NA, 4, NA, NA
Franz Mattenklott, 1884, NA, 1954, NA, 2, NA, NA
Franz Neuhausen, 1887, NA, 1966, NA, 15, NA, NA
Franz Ollendorff, 1900, NA, 1981, NA, 2, NA, NA
Franz Oswald, 1915, Germany, 2003, NA, 32, NA, NA
Franz Peter, 1896, Austria, 1968, NA, 4, NA, NA
Franz Pfeiffer (officer), 1907, Germany, 1994, NA, 32, NA, NA
Franz Pöschl, 1917, Germany, 2011, NA, 32, NA, NA
Franz Reuß, 1904, NA, 1992, NA, 32, NA, NA
Franz Riedel, 1921, NA, 2001, NA, 5, NA, NA
Franz Rogalski, 1913, NA, 1945, NA, 32, NA, NA
Franz Rudorfer, 1897, NA, 1919, NA, 2, NA, NA
Franz Ruhl, 1922, Germany, 1944, NA, 32, NA, NA
Franz Schall, 1918, Austria, 1945, NA, 32, NA, NA
Franz Scheidies, 1890, NA, 1942, NA, 32, NA, NA
Franz Scherzer, 1921, Austria, 1979, NA, 2, NA, NA
Franz Schieß, 1921, Austria, 1943, NA, 32, NA, NA
Franz Schlieper, 1905, Germany, 1974, NA, 32, NA, NA
Franz Schlik, 1789, NA, 1862, NA, 2, NA, NA
