Name, Birthyear, Birthplace, Deathyear, Deathcause, Award, Height, Religion
Isaac Coffin, 1801, NA, 1872, NA, 26, NA, NA
Isaac D. White, 1901, NA, 1990, NA, 4, NA, NA
Isaac Gause, 1843, NA, 1920, NA, 14, NA, NA
Isaac Greenwood, 1702, NA, 1745, NA, 50, NA, NA
Isaac H. Carmin, 1841, NA, 1919, NA, 14, NA, NA
Isaac Henry Burkill, 1870, NA, 1965, NA, 13, NA, NA
Isaac James (Medal of Honor), 1838, NA, 1914, NA, 14, NA, NA
Isaac Littell, 1857, NA, 1924, NA, 39, NA, NA
Isaac N. Fry, 1839, NA, 1900, NA, 14, NA, NA
Isaac Payne, 1854, NA, 1904, NA, 14, NA, NA
Isaac Phills, 1896, Saint Vincent and the Grenadines, 1985, NA, 15, NA, NA
Isaac S. Catlin, 1835, NA, 1916, NA, 14, NA, NA
Isaac Santra, 1892, NA, 1968, NA, 10, NA, NA
Isaac Schwartz, 1923, NA, 2009, NA, 10, NA, NA
Isaac Starr, 1895, NA, 1989, NA, 46, NA, NA
Isabel Sanford, 1917, NA, 2004, NA, 68, NA, NA
Isadore Nordstrom, 1876, Sweden, 1930, NA, 14, NA, NA
Isadore S. Jachman, 1922, Germany, 1945, NA, 4, NA, NA
Isaiah Mays, 1858, NA, 1925, NA, 14, NA, NA
Isamu Takeshita, 1869, NA, 1949, NA, 23, NA, NA
Isao Imai (physicist), 1914, NA, 2004, NA, 5, NA, NA
Isham Randolph, 1848, NA, 1920, NA, 21, NA, NA
Ishmael Bernal, 1938, NA, 1996, NA, 34, NA, NA
Ishrat Ali Siddiqui, 1919, NA, 2014, NA, 10, NA, NA
Ishrat Hussain Usmani, 1917, NA, 1992, NA, 15, NA, NA
Ishtiaq Hussain Qureshi, 1903, NA, 1981, NA, 2, NA, NA
Isidore Bonheur, 1827, NA, 1901, NA, 29, NA, NA
Iskhak Akhmerov, 1901, NA, 1976, NA, 2, NA, NA
Islam-ud-Din, 1925, NA, 1945, NA, 12, NA, NA
Ismail Ahmed Cachalia, 1908, NA, 2003, NA, 2, NA, NA
Ismail Sulemanji Khatri, 1937, India, 2014, NA, 10, NA, NA
Isobel Bennett, 1909, NA, 2008, NA, 35, NA, NA
Israel Dostrovsky, 1918, NA, 2010, NA, 12, NA, NA
Israel Halperin, 1911, NA, 2007, NA, 25, NA, NA
István Anhalt, 1919, NA, 2012, NA, 15, NA, NA
István Rusznyák, 1889, NA, 1974, NA, 20, NA, NA
István Sréter, 1867, NA, 1942, NA, 4, NA, NA
Iswahyudi, 1918, NA, 1947, NA, 26, NA, NA
Italo Gariboldi, 1879, Italy, 1970, NA, 32, NA, NA
Ivan Babić (officer), 1904, NA, 1982, NA, 10, NA, NA
Ivan Bagramyan, 1897, NA, 1982, NA, 5, NA, NA
Ivan Banov, 1916, Russia, 1982, NA, 2, NA, NA
Ivan Boldin, 1892, NA, 1965, NA, 4, NA, NA
Ivan Dougherty, 1907, NA, 1998, NA, 5, NA, NA
Ivan Essen, 1759, NA, 1813, NA, 19, NA, NA
Ivan Godlevsky, 1908, NA, 1998, NA, 4, NA, NA
Ivan Gošnjak, 1909, NA, 1980, NA, 2, NA, NA
Ivan Grigorovich, 1853, Russia, 1930, NA, 3, NA, NA
Ivan Head, 1930, NA, 2004, NA, 15, NA, NA
Ivan Kamera, 1897, NA, 1952, NA, 43, NA, NA
Ivan Kharchenko, 1918, NA, 1989, NA, 3, NA, NA
Ivan L. Slavich Jr., 1927, NA, 2012, NA, 5, NA, NA
Ivan Loiko, 1892, Russia, 1936, NA, 5, NA, NA
Ivan Orlov (aviator), 1895, Russia, 1917, NA, 7, NA, NA
Ivan Rukavina, 1912, NA, 1992, NA, 7, NA, NA
Ivan Savenko, 1924, NA, 1987, NA, 18, NA, NA
Ivan Sidorenko, 1919, Russia, 1994, NA, 24, NA, NA
Ivan Sokolov-Mikitov, 1882, NA, 1975, NA, 33, NA, NA
Ivan Sytov, 1916, NA, 1943, NA, 24, NA, NA
Ivan Vasilyevich Smirnov, 1895, NA, 1956, NA, 9, NA, NA
Ivan Wettengel, 1876, NA, 1935, NA, 10, NA, NA
Ivan Zakharkin, 1889, NA, 1944, NA, 3, NA, NA
Ivan Zholtovsky, 1867, NA, 1959, NA, 16, NA, NA
Ivar Brok, 1977, NA, 2008, NA, 33, NA, NA
Iven Mackay, 1882, NA, 1966, NA, 8, NA, NA
Ivers S. Calkin, 1836, NA, 1902, NA, 14, NA, NA
Ivo Andrić, 1892, NA, 1975, NA, 2, NA, NA
Ivo Vesey, 1876, NA, 1975, NA, 4, NA, NA
Ivo Whitton, 1893, NA, 1967, NA, 28, NA, NA
Ivor G. Balding, 1908, NA, 2005, NA, 20, NA, NA
Ivor Gillett, 1928, NA, 1950, NA, 12, NA, NA
Ivor Herbert 1st Baron Treowen, 1851, NA, 1933, NA, 2, NA, NA
Ivor Maxse, 1862, NA, 1958, NA, 3, NA, NA
Ivor McIntyre, 1899, NA, 1928, NA, 2, NA, NA
Iván Hindy, 1890, NA, 1946, NA, 2, NA, NA
Iwan Raikes, 1921, NA, 2011, NA, 3, NA, NA
Izaak Kolthoff, 1894, Netherlands, 1993, NA, 3, NA, NA
Izya Gershtein, 1923, NA, 2013, NA, 20, NA, NA
Izzat Klychev, 1923, Turkmenistan, 2006, NA, 3, NA, NA
V. G. Bhide, 1925, NA, 2006, NA, 3, NA, NA
V. K. Murthy, 1923, NA, 2014, NA, 22, NA, NA
V. R. Khanolkar, 1895, NA, 1978, NA, 13, NA, NA
V. S. Huzurbazar, 1919, India, 1991, NA, 11, NA, NA
V. S. Wakankar, 1919, NA, 1988, NA, 10, NA, NA
V. Somashekhar, 1937, NA, 2003, Renal failure, 22, NA, NA
V. V. K. Valath, 1918, NA, 2000, NA, 2, NA, NA
V. Venkatachalam, 1925, NA, 2002, NA, 10, NA, NA
Vadim Spiridonov, 1944, NA, 1989, NA, 18, NA, NA
Vahe Vahian, 1908, Turkey, 1998, NA, 21, NA, NA
Valentin Rumyantsev, 1921, NA, 2007, NA, 2, NA, NA
Valentine Baker (pilot), 1888, NA, 1942, NA, 2, NA, NA
Valerian A. Frolov, 1895, NA, 1961, NA, 14, NA, NA
Valerian Wellesley 8th Duke of Wellington, 1915, Italy, 2014, NA, 3, NA, NA
Valeriu Boboc, 1985, Moldova, 2009, April 2009 Moldovan parliamentary election protests, 31, NA, NA
Vallathol Narayana Menon, 1878, NA, 1958, NA, 13, NA, NA
