Occupation,Lifespans
Eastern Orthodox Church,"[40, 78, 74, 56, 50, 56, 87, 64, 57, 77, 82, 36, 74, 81, 82, 51, 69, 48, 57, 87, 60, 63, 79, 81, 45, 62, 56, 51, 76, 81, 89, 80, 71, 57, 27, 52, 36, 83, 26, 38, 76, 67, 56, 49, 73, 70, 56, 55, 59, 66, 82, 87, 51, 74, 34, 65, 29, 38, 73, 57, 50, 86, 87, 88, 63, 75, 74, -1873, 66, 65, 74, 39, 61, 75, 63, 77, 61, 88, 62, 86, 79, 77, 77, 46, 71, 59, 67, 63, 69, 67, 35, 69, 40, 89, 62, 63, 58, 73, 57, 66, 74, 59, 48, 67, 78, 80]"
Serbian Orthodox Church,"[52, 54, 70, 77, 90, 89, 82, 66, 47, 50, 48, 84, 73, 41, 66, 67, 62, 72, 73, 60, 73, 49, 48, 49, 82, 63, 35, 61, 62, 90]"
Zen,"[76, 63, 82, 63, 51, 85, 65, 82, 59, 75, 94, 90, 68, 66, 81, 53, 84, 85, 63, 57, 64, 86, 89, 71, 51, 52, 69, 95, 78, 63, 87]"
Hindu,"[64, 88, 51, 84, 83, 68, 80, 73, 59, 74, 86, 68, 79, 86, 82, 58, 81, 95, 71, 94, 58, 42, 87, 83, 71, 46, 68, 70, 40, 63, 67, 73, 75, 38, 68, 41, 67, 62, 87, 86, 73, 70, 80, 61, 71, 56, 87, 90, 72, 54, 85, 42, 99, 85, 46, 80, 71, 74, 80, 83, 66, 81, 86, 69, 80, 52, 62, 59, 91, 53, 85, 67, 71, 61, 75, 94, 75, 80, 67, 50, 72, 61, 78, 57, 81, 82, 57, 77, 69, 58, 55, 63, 55, 71, 35, 75, 52, 91, 67, 84, 53, 69, 84, 83, 84, 33, 39, 73, 75, 100, 75, 66, 70, 52, 39, 85, 89, 57, 89, 63, 52, 72, 75, 78, 60, 76, 84, 97, 80, 82, 67, 78, -1918, 23, 68, 85, 75, 78, 85, 66, 56, 56, 86, 59, 71, 67, 54, 59, 79, 64, 54, 88, 66, 34, 70, 65, 72, 67, 72, 65, 61, 67, 72, 72, 81, 74, 86, -1892, 65, 73, 62, 76, 91, 66, 93, 86, 77, 58, 72, 74, 65, 65, 86, 85, 63, 65, 100, 88, 85, 50, 63]"
Buddhism,"[82, 71, 70, 93, 65, 37, 62, 70, 122, 41, 92, 74, 74, 85, 80, 62, 89, 83, 96, 79, 86, 80, 80, 94, 60, 49, 78, 116, 104, 89, 78, 48, 62, 90, 43, 87, 69, 50, 49, 67, 53, 61, 79, 94, 68, 82, 71, 85, 87, 70, 74, 104, 83, 102, 52, 77, 75, 75, 53, 85, 68, 54, 60, 71, 50, 79, 88, 94, 69, 84, 69, 73, 68, 100, 88, 93, 60]"
Methodism,"[56, 84, 88, 67, 74, 79, 77, 89, 78, 76, 34, 74, 60, 59, 73, 56, 52, 81, 91, 90, 71, 63, 97, 66, 79, 67, 72, 69, 64, 67, 78, 68, 60, 73, 80, 72, 70, 83, 87, 68, 88, 67, 71, 81, 73, 73, 82, 92, 86, 60, 88, 95, 69, 86, 91, 39, 92, 88, 59, 72, 82, 87, 51, 80, 53, 35, 75, 73, 70, 76, 67, 88, 89, 82, 80, 75, 59, 75, 76, 58, 77, 79, 78, 56, 93, 68, 85, 66, 80, 67, 50, 85, 32, 51, 77, 74, 84, 86, 87, 90, 94, 85, 38, 85, 83, 83, 65, 71, 42, 58, 85, 56, 82, 72, 59, 60, 73, 83, 81, 51, 56, 0, 87, 91, 75, 51, 72, 73, 79, 92, 62, 92, 63, 95, 88, 87, 79, 64, 85, 90, 70, 83, 83, 84, 83, 86, 73, 69, 65, 90, 61, 70, 84, 74, 74, 58, 67, 78, 75, 98, 60, 80, 69, 54, 86, 0, 96, 72, 55, 93, 78, 74, 77, 75, 69, 88, 81, 84, 74, 63, 79, 76, 92, 95, 80, 83, 84, 77, 98, 86, 34, 75, 115, 71, 77, 60, 48, 91, 97, 66, 78, 84, 71, 88, 74, 89, 80, 80, 78, 51, 75, 83, 49, 81, 76, 89, 73, 84, 80, 65, 72, 91, 83, 71, 80, 69, 63, 83, 77, 94, 56, 57, 55, 1956, 85, 65, 78, 48, 50, 73, 91, 76, 57, 67, 76, 62, 79, 78, 83, 78, 91, 78, 87, 68, 80, 86, 84, 83, 76, 61, 67, 76, 75, 86, 68, 72, 83, 85, 93, 64, 93, 59, 78, 87, 80, 77, 66, 55, 68, 75, 62, 80, 68, 89, 86, 74, 65, 83, 91, 68, 86, 81, 95, 39, 65, 78]"
Christian,"[81, 82, 64, 67, 61, 60, 66, 29, 76, 61, 32, 58, 85, 43, 93, 94, 84, 65, 74, 74, 60, 61, 67, 34, 57, 67, 91, 60, 86, 50, 85, 38, 89, 87, 52, 63, 82, 80, 85, 84, 96, 28, 66, 89, 65, 65, 75, 100, 1999, 96, 75, 79, 83, 65, 73, 85, 65, 57, 81, 80, 81, 68, 82, 53, 86, 87, 59, 78, 92, 29, 67, 61, 55, 85, 71, 72, 74, 76, 61, 63, 49, 82, 71, 69, 72, 86, 56, 90, 71, 59, 59, 65, 57, 84, 56, 79, 1877, 1574, 47, 62, 80, 68, 54, 73, 79, 82, 79, 74, 44, 82, 81, 88, 85, 50, 81, 69, 1780, 78, 85, 100, 67, 74, 61, 85, 74, 61, 88, 87, 84, 72, 68, 71, 82, 76, 79, 70, 68, 66, 60, 83, 87, 31, 72, 74, 83, 40, 92, 74, 95, 87, 79, 59, 86, 80, 73, 76, 83, 80, 80, 79, 84, 75, 64, 81, 59, 81, 92, 91, 85, 90, 78, 59, 49, 85, 74, 88, 61, 40, 73, 79, 33, 93, 77, 93, 83, 91, 75, 66, 80, 46, 73, 86, 86, 72, 88, 83, 91, 42, 90, 82, 85, 63, 86, 64, 85, 67, 60, 77]"
Episcopal Church (United States),"[83, 50, 77, 70, 68, 92, 68, 61, 74, 53, 64, 60, 57, 60, 51, 1916, 78, 92, 67, 79, 98, 90, 74, 73, 74, 79, 52, 83, 76, 70, 89, 89, 84, 83, 63, 49, 83, 69, 77, 73, 68, 84, 73, 77, 65, 51, 81, 74, 83, 78, 72, 84, 81, 85, 94, 92, 56, 94, 75, 81, 76, 86, 88, 77, 82, 64, 77, 57, 61, 64, 87, 72, 84, 75, 70, 83, 73, 88, 86, 76, 82, 51, 95, 85, 78, 71, 72, 84, 73, 84, 70, 97, 78, 78, 90, 43, 78, 72, 71, 72, 86, 75, 79, 62, 64, 93, 77, 74, 64, 56, 87, 92, 59, 94, 77, 71, 80, 61, 48, 80, 74, 84, 90, 80, 83, 85, 85, 59, 61, 86, 69, 63, 59, 63, 58, 81, 94, 27, 79, 64, 57, 72, 82, 66, 87, 77, 82, 87, 66, 94, 64, 76, 0, 61, 79, 65, 77, 68, 62, 73, 78, 92, 52, 70, 54, 56, 93, 75, 89, 68, 74, 89, 79, 78, 79, 76, 65, 64, 68, 63, 78, 63, 55, 82, 77, 56, 92, 79, 60, 68, 89, 61, 53, 61, 70, 89, 80, 90, 85, 85, 80, 68, 82, 50, 84, 91, 86, 50, 53, 84, 69, 91, 68, 69, 62, 91, 67, 65, 68, 92, 77, 87, 94, 66, 90, 93, 91, 73, 82, 62, 79, 72, 70, 91, 64, 71, 54, 66, 75, 90, 93, 62, 70, 78, 99, 66, 52, 83, 73, 99, 57, 63, 91, 45, 94, 65, 71, 73, 61, 86, 94, 52, 58, 79, 86, 74, 40, 88, 76, 68, 80, 78, 86, 69, 82, 64, 79, 71, 87, 89, 69, 72, 89, 36, 65, 61, 91, 84, 61, 72, 74, 51, 79, 94, 75, 76, 82, 67, 49, 76, 53, 69, 30, 87, 43, 77, 53, 52, 61, 92, 62, 68, 80, 75, 78, 94, 71, 62, 60, 60, 82, 51, 81, 87, 67, 43, 48, 85, 89, 80, 71, 73, 77, 82, 78]"
Unitarianism,"[83, 62, 68, 73, 77, 88, 83, 75, 75, 81, 71, 80, 75, 73, 87, 78, 39, 52, 86, 80, 89, 73, 86, 70, 62, 64, 83, 62, 36, 78, 62, 70, 83, 72, 63, 71, 76, 82, 82, 82, 88, 55, 76, 88, 81, 83, 72, 81, 65, 46, 68, 57, 67, 75, 95, 76, 60, 74, 53, 74, 71]"
Churches of Christ,"[62, 91, 44, 88, 76, 84, 72, 91, 93, 82, 68, 90, 81, 93, 82, 37, 84, 91]"
Christianity,"[85, 61, 52, 79, 99, 80, 75, 81, 72, 63, 55, 80, 77, 68, 80, 87, 74, 54, 61, 90, 64, 79, 69, 73, 82, 95, 71, 60, 73, 73, 85, 77, 74, 66, 91, 73, 90, 91, 89, 95, 89, 54, 116, 90, 82, 34, 97, 59, 78, 64, 81, 54, 63, 87, 89, 80, 90, 73, 64, 61, 75, 68, 67, 80, 72, 69, 52, 90, 77, 39, 47, 90, 57, 54, 74, 87, 61, 74, 83, 73, 76, 57, 88, 53, 82, 80, 1192, 25, 95, 78, 71, 67, 77, 71, 74, 62, 86, 76, 94, 59, 73, 75, 82, 68, 69, 69, 64, 80, 59, 53, 64, 64, 54, 65, 75, 92, 60, 69, 115, 89, 88, 76, 76, 67, 83, 84, 75, 94, 68, 64, 85]"
Jews,"[70, 70, 60, 55, 85, 51, 79, 80, 86, 35, 62, 84, 85, 81, 78, 35, 71, 72, 76, 83, 65, 53, 24, 91, 86, 71, 60, 76, 50, 43, 68, 91, 55, 75, 51, 68, 102, 78, 74, 85, 82, 75, 69, 88, 70, 79, 104, 72, 93, 83, 34, 39, 61, 77, 89, 96, 64, 50, 81, 99, 61, 59, 54, 58, 88, 23, 70, 74, 63, 70, 93, 101, 86, 86, 79, 87, 79, 71, 87, 46, 74, 66, 72, 86, 83, 93, 81, 89, 80, 71, 81, 46, 59, 57, 89, 39, 74, 71, 76, 29, 73, 77, 74, 93, 90, 53, 92, 79, 31, 81, 32, 82, 45]"
Wicca,"[61, 42, 80]"
Lutheranism,"[69, 86, 29, 68, 58, 99, 56, 68, 70, 101, 63, 64, 22, 94, 77, 74, 80, 66, 80, 93, 74, 83, 75, 66, 75, 84, 75, 45, 91, 77, 70, 64, 61, 80, 68, 61, 79, 76, 65, 78, 68, 66, 54, 84, 84, 60, 70, 79, 73, 81, 66, 52, 87, 63, 75, 86, 85, 89, 63, 88, 53, 69, 76, 81, 68, 91, 83, 72, 74, 78, 85, 78, 71, 58, 79, 65, 54, 70, 86, 88, 51, 48, 69, 82, 66, 65, 67, 73, 87, 77, 88, 81, 65, 64, 87, 88, 81, 74, 75, 59, 79, 76, 25, 80, 78, 82, 70, 74, 82, 59, 82, 82, 67, 83, 76, 74, 55, 61, 87, 55, 84, 77, 82, 84, 47, 1721, 68, 45, 69, 87, 92, 84, 60, 84, 89, 71]"
Quakers,"[64, 98, 88, 76, 85, 79, 93, 58, 78, 36, 87, 79, 54, 74, 43, 87, 87, 86, 68, 52, 97, 77, 91, 83, 93, 78, 59, 88, 87, 77, 70, 95, 87, 77, 91, 81, 73, 76, 78, 86, 68, 78, 63, 60, 61, 69, 75, 83, 71, 88, 81, 24, 85, 37, 78, 74, 75, 92, 93, 77, 78, 49, 101, 93, 85, 92, 62, 74, 19, 73, 66, 60, 38, 86, 68, 76, 57, 74, 85, 63, 96, 61, 79, 51, 72, 83, 54, 82, 70, 81, 83, 75, 65, 52, 70, 82, 74, -1578]"
Presbyterianism,"[77, 75, 68, 64, 66, 78, 87, 76, 76, 84, 63, 73, 59, 81, 56, 82, 76, 60, 91, 68, 83, 89, 73, 90, 90, 76, 79, 79, 71, 79, 76, 86, 62, 57, 53, 65, 69, 35, 70, 79, 79, 75, 86, 89, 73, 74, 38, 76, 70, 58, 68, 68, 89, 72, 93, 87, 74, 61, 69, 65, 62, 65, 66, 81, 93, 82, 87, 91, 96, 74, 74, 78, 81, 82, 65, 83, 78, 81, 81, 46, 72, 76, 75, 75, 35, 76, 75, 67, 61, 77, 79, 82, 59, 81, 74, 63, 81, 84, 67, 90, 94, 74, 68, 76, 55, 70, 75, 74, 69, 79, 75, 86, 69, -1804, 55, 97, 85, 83, 76, 88, 80, 76, 50, 75, 81, 77, 78, 82, 72, 56, 80, 83, 76, 73, 76, 80, 60, 96, 94, 75, 72, 55, 76, 78, 63, 96, 93, 80, 60, 89, 76, 76, 70, 69, 93, 90, 52, 81, 80, 78, 80, 87, 70, 73, 66, 98, 77, 92, 86, 53, 96, 71, 65, 81, 61, 80, 71, 77, 52, 62, 62, 1877, 95, 68, 58, 64, 68, 62, 89, 85, 91, 89, 76, 74, 84, 82, 67, 77, 79, 87, 60, 77, 80, 88, 64, 75, 65, 76, 65, 64, 85, 61, 88, 92, 76, 60, 76, 77, 75, 60, 62, 50, 63, 91, 74, 87, 61, 77, 59, 82, 72, 80, 65, 72, 67, 87, 41, 83, 97, 75, 55, 71, 86, 63, 86, 80, 93, 68, 63, 83, 73, 75, 83, 79, 71, 56, 75, 91, 69, 75, 81, 79, 56, 87, 63, 76, 89, 60, 73, 77, 80, 74, 77, 62, 62, 76, 82, 85, 79, 84, 76, 75, 60, 67, 85, 78, 37, 65, 87, 60, 73, 67, 75, 85, 101, 81, 89, 84, 85, 72, 86, 75, 76, 75, 61, 77, 82, 84, 71, 90, 61, 70, 76, 78, 79, 61, 57, 54, 70, 78, 77, 67, 75, 50, 61, 71, 73, 91, 75, 88, 77, 78, 92, 90, 72, 82, 82, 62, 93, 71, 66, 73, 71, 69, 76, 76, 46, 66, 91, 89, 68, 85, 75, 84, 78, 81, 90, 73, 64, 70, 79, 62, 92, 78, 62, 86, 73, 88, 61, 57, 85, 78, 71, 78, 82, 76, 52, 86, 67, 64, 79, 85, 81, 68, 76, 83, 82, 60, 59, 81, 74, 50, 64, 89, 47, 76, 67, 74, 66, 85, 91, 91, 84, 81, 90, 81, 90, 89]"
Puritans,"[83, 69, 62, 67, 63, 57, 69, 78, 77, 67, 89, 81, 56, 63, 71, 67, 77, -36, 72, 44, 79, 71, 87, 73, 76, 51, 79, 66, 76, 75, 74, 70, 74, 85, 59, 69, 86, 78, 100, 68, 49, 81, 58, 52, 80, 73, 82, 73, 81, 51, 60, 92, 72, 80, 56, 272, 80, 57, 95, 55, 58, 54, 70, 72, 77, 70]"
The New Church,"[84, 56, 49, 83]"
Philippine Independent Church,"[74, 75, 107, 46]"
Protestantism,"[81, 43, 93, 83, 78, 81, 55, 61, 84, 61, 82, 40, 69, 64, 92, 70, 61, 57, 75, 80, 70, 90, 86, 86, 89, 98, 56, 50, 74, 58, 21, 69, 63, 95, 55, 71, 77, 76, 74, 63, 72, 67, 67, 67, 69, 95, 70, 92, 72, 39, 63, 55, 70, 49, 92, 62, 79, 62, 32, 78, 79, 81, 88, 63, 85, 43, 65, 72, 98, 89, 86, 75, 73, 73, 66, 56, 71, 78, 57, 67, 73, 90, 69, 70, 56, 82, 60, 67, 78, 51, 90, 80, 77, 60, 26, 74, 63, 52, 89, 35, 56, 98, 61, 57, 44, 73, 90, 36, 44, 63, 64, 78, 78, 75, 77, 85]"
Suhrawardiyya,"[89, 84, 126]"
Armenian Apostolic Church,"[53, 73, 81, 79, 74, 68, 55, 78, 84, 89, 1133, 32, 95, 81, 61, 76, 54, 78, 74, 67, 84]"
Malankara Orthodox Syrian Church,"[86, 60, 94]"
Church of Christ,"[89, 90, 58, 72, 77, 68, 83, 74]"
Jainism,"[89, 37, 85, 79, 89, 84, 34, 65, 78, 91, 79, 66, 75, 63, 91, 86, 79, 79, 87]"
Christian Science,"[71, 52, 91, 60, 81, 80, 91, 94, 70, 60, 75, 67, 92, 85, 75, 84]"
Anglican Communion,"[66, 71, 88, 49, 80, 87]"
Atheism,"[93, 65, 69]"
Society of Jesus,"[89, 88]"
United Methodist Church,"[92, 79, 78, 61, 90, 78, 85, 63, 94, 92, 88, 55, 78, 98, 93, 59, 83, 74, 91, 65, 88, 99, 96, 73, 68, 76, 82, 88, 94, 92, 69, 75, 77, 87, 101, 75, 88, 70, 89, 80, 90, 74, 75, 76, 89, 87, 54, 82, 76, 81, 85, 89, 86, 69, 86, 84, 86, 78, 79, 92, 99, 83, 77, 63, 86, 95, 77, 74, 84, 86, 83, 85, 89, 77, 80, 88, 85, 70, 86, 79, 55, 68, 70, 94, 88, 92, 74, 71, 68, 83, 85, 82, 66, 79, 59, 87, 81, 71, 85, 86, 82, 55, 65, 75, 69, 87, 88, 96, 85, 82, 81, 59, 90, 96, 88, 73, 91, 91, 74, 68]"
Bulgarian Orthodox Church,[70]
Old Believers,[55]
Atheism in Hinduism,[83]
Traditional African religion,[62]
Dominican Order,[1517]
Georgian Orthodox Church,"[75, 79, 24]"
Southern Baptist Convention,"[87, 94, 67, 73, 96, 88, 80, 93, 90, 94, 72, 91, 60, 69, 84, 93, 64, 70, 67, 77, 76, 80, 75, 60, 76, 88, 80, 68, 74, 68, 76, 83, 85, 61, 103, 93, 42, 47, 91, 63, 72, 83, 91, 74, 94, 77, 77, 70, 88, 86, 80, 86, 95, 84, 60, 72, 76, 54, 85, 84, 92, 85, 90, 84, 90, 94, 74, 89, 55, 66, 76, 90, 67, 82, 95, 109, 71, 71, 88, 73, 80, 77, 62, 87, 81, 73, 70, 57, 75, 79, 75, 74, 90, 75, 91, 89, 92, 84, 84, 52, 90, 92, 73]"
Evangelicalism,"[68, 88, 83, 109, 92, 66, 49, 43, 75, 74, 62, 87, 69, 93, 93, 62, 67, 65, 91, 72, 71, 73]"
Iglesia ni Cristo,"[69, 86]"
Mormons,"[71, 90, 69, 70, 75, 67, 63]"
Assemblies of God,[71]
Christian Church (Disciples of Christ),"[68, 82, 65, 75, 68, 87, 73, 74, 89, 90, 82, 85, 86, 86, 88, 79, 81, 79]"
Reform Judaism,"[94, 76, 75, 71, 87, 55, 81, 89, 72, 90, 86, 89, 56, 84, 79]"
Chalcedonian Christianity,[61]
Church of Ireland,"[77, 87, 50, 95, 77, 87, 90, 83, 66, 85, 85, 74, 74, 70, 75, 40, 73, 79, 87, 72, 80, 35, 79, 60, 64, 75, 74, 68, 52, 81, 68, 81, 93, 81, 83, 58, 83, 73, 81, 52, 82, 95, 60, 57, 82, 78, 87, 66, 70, 55, 73, 82, 73, 88, 83, 64, 80, 80, 77, 73, 54, 68, 83, 77, 73, 85, 80]"
Theravada,"[69, 56, 80, 65, 63, 55, 76, 57, 87, 49, 76, 81, 92, 86, 81, 45, 8, 47, 86, 73, 59, 73, 64, 75, 69, 91, 74, 81, 58, 37, 90, 91, 57, 85, 66, 77, 110, 72, 76, 86, 68, 74, 55]"
Church of Christ Scientist,"[92, 77, 53, 68]"
Congregational church,"[74, 76, 77, 85, 65, 76, 88, 75, 71, 82, 81, 71, 76, 82, 65, 67, 81, 88, 59, 39, 74, 68, 87, 59, 62, 88, 90, 93, 85, 86, 91, 76, 49, 82, 67, 77, 89, 75, 65, 71, 70, 68, 77, 49, 80, 74, 46, 96, 76, 80, 69, 41, 91, 58, 79, 75, 78, 62, 81, 64, 81, 79, 56, 73, 69, 79, 64, 32, 75, 88, 85, 69, 76, 92, 86, 87, 70, 72, 72, 82, 68, 88, 95, 88, 82, 71, 79, 85, 68, 59, 86, 65, 91, 48, 80, 69, 69, 81, 56, 96, 62, 79, 83, 83, 85, 79, 69, 78, 83, 78, 90, 87, 64, 62, 65, 65, 59, 87, 64, 62, 83, 65, 68, 78, 69, 81, 65, 89, 70, 91, 82, 88, 77, 68, 69, 64, 81, 91, 36, 78, 67, 76, 68, 85, 46, 77, 61, 74, 69, 80, 86, 67, 63, 83, 75, 85, 74, 79, 73, 83, 55, 71]"
Cooneyites,"[93, 84]"
Presbyterian Church in Ireland,"[64, 80]"
Presbyterian Church in the United States,"[69, 73, 84, 58, 73, 62, 79, 85, 75, 67, 95, 87, 61, 80, 84, 79, 68, 91, 74, 61, 54, 78, 84, 60, 97, 80, 73, 83, 92]"
Anglican Church of Australia,"[68, 84, 68, 96]"
Free Quakers,[79]
Ashkenazi Jews,"[87, 61, 88]"
Methodist Church in Ireland,"[68, 73]"
Universalism,"[76, 83, 67, 75, 86, 76, 66, 81, 61, 51]"
Mennonite Church in the Netherlands,"[91, 82]"
Church of Sweden,"[68, 87, 82, 72]"
Evangelical Lutheran Church of Finland,[41]
Calvinism,"[55, 92, 92, 49, 89, 85, 41, 50, 54, 50, 71, 87, 82, 55, 49, 92]"
Unitarian Universalism,"[84, 76, 86, 92, 70, 84, 61, 255, 64, 77, 66, 65, 79, 84, 78, 67, 50, 77, 84, 68]"
Deism,"[76, 92, 36, 69, 84, 91, 46, 37, 79, 75]"
African Methodist Episcopal Zion Church,"[91, 55]"
Pentecostalism,"[42, 82, 44, 90, 86, 76, 63, 90, 86, 45, 93, 78, 59, 78, 81, 86, 90, 91, 61]"
Free Presbyterian Church of North America,[83]
Church of Denmark,"[31, 20, 26, 77, 29, 35, 57, 30, 21, 35, 18, 23, 37, 20, 21, 28, 51, 27, 49, 31, 30, 27, 28, 30, 54, 65, 28, 29, 52, 67, 82, 41]"
Methodist Episcopal Church,"[70, 83, 81, 91, 70, 54, 56, 60, 75, 83, 64, 82, 76, 52, 87, 80, 87, 89, 79, 83, 91, 65, 95, 70, 72, 84, 60, 82, 48, 70, 48]"
Anglican Church of Canada,"[88, 68, 62, 65, 76, 75, 81, 70, 80, 80]"
Zoroastrianism,"[85, 79, 65, 87, 45, 94, 566, 77, 65, 89, 92, 70, 82, 73, 73, 74, 78, 86, 77, 0, 68, 43, 68, 63]"
Mahayana,[99]
Catholic Church in the Philippines,"[81, 66, 90]"
Jehovah's Witnesses,"[82, 99, 73, 88, 83, 54, 72]"
Universalist Church of America,"[67, 88, 91, 74, 62, 81, 80, 63, 88, 74]"
Haredi Judaism,"[84, 63, 56, 64, 75, 92, 75]"
Chan Buddhism,"[63, 100, 75, 53, 84, 85, 62, 71, 66, 71, 51, 94, 87, 67]"
Sikhism,"[70, 21, 87, 42, 98, 37, 65, 67, 60, 72, 84, 75, 53, 67, 77, 88, 55, 49]"
Umbanda,[84]
Excommunication,[87]
Brazilian Catholic Apostolic Church,"[87, 89]"
Lutheran Church–Missouri Synod,"[74, 74, 92, 88]"
Scientology,"[75, 54, 74]"
Sikh,"[52, 82, 78, 50, 87, 19, 77, 77, 74]"
Won Buddhism,[77]
United Church of Canada,"[78, 64, 84, 79, 81, 60, 88, 86, 81, 61, 90, 71, 77, 88, 100, 78, 57]"
Norse religion,[50]
Christian denomination,"[71, 50, 58, 86, 70, 87, 73, 79, 77, 85, 69, 90, 77, 59, 91, 78, 43, 68, 97, 60, 89, 79, 88, 47]"
Quinqae,[82]
Orthodox Presbyterian Church,"[92, 73, 56]"
Evangelical Lutheran Church (United States),[61]
Bahá'í Faith,"[73, 70, 77, 93, 90, 68, 81, 59, 73, 77, 64, 91, 73, 89]"
Tibetan Buddhism,"[71, 62, 66, 78, 55, 82, 86, 64]"
Omaha people,[30]
Evangelism,[44]
Presbyterian Church in America,[68]
Presbyterian Church (USA),"[85, 75, 88, 88, 60, 81, 59, 80, 88, 93]"
Spiritual church movement,[68]
Saint,[39]
Twelver,"[48, 80, 85, 89, 42, 70, 49, 83, 75, 92, 82, 85, 81, 87, 80, 91, 85, 82, 67, 97, 79, 92, 64, 73, 41]"
Nazism and occultism,[77]
Maliki,[82]
Protestant Church in the Netherlands,"[71, 85, 92, 75, 108, 67]"
Korean Buddhism,"[81, 62, 76]"
Druze,"[77, 39, 63, 49, 81, 60]"
Parsi,"[68, 80, 78, 74]"
Sufism,"[79, 63, 76, 66, 85, 68, 82, 89, 105, 92]"
Assyrian Church of the East,[67]
Perennial philosophy,[71]
Orthodox Judaism,"[78, 89, 74, 68, 71, 87, 92, 82, 102, 68, 94, 91, 94, 90]"
Conservative Judaism,"[72, 96]"
Moldovan Orthodox Church,[30]
Presbyterian Church in Canada,"[54, 77, 88]"
Church of Scotland,"[74, 78, 90, 73, 39, 72, 85, 48, 66, 65, 89]"
General Assembly of Unitarian and Free Christian Churches,[77]
Islam in Indonesia,"[51, 63]"
American Jews,"[84, 76, 85]"
Free Wesleyan Church,"[62, 88]"
Ekasarana Dharma,[98]
Evangelical Lutheran Church in America,[71]
Independent Catholic churches,"[52, 91]"
Shaivism,"[70, 80, 87, 75, 1]"
Lingayatism,"[98, 65]"
Shafi'i,"[75, 85]"
Free Catholic Church,[89]
Presbyterian Church in the United States of America,"[61, 92, 81, 83, 81, 75, 96, 88, 48]"
Reformed Baptists,"[83, 70, 58]"
American Baptist Churches USA,"[75, 87]"
Australian Church,[79]
Methodist Episcopal Church South,"[59, 89, 65, 80, 60, 77, 78, 87, 68, 82, 74, 86, 65, 70, 72, 70, 63]"
Reformed Church in America,"[70, 85, 89]"
Christ Church Cathedral (Hartford Connecticut),[93]
Religious Science,"[78, 90, 87]"
Coptic Catholic Church,[83]
Gaudiya Vaishnavism,"[57, 56, 67]"
Agnosticism,"[86, 87, 84, 72]"
Roman Catholicism in Indonesia,[66]
Brahmoism,"[77, 52, 86]"
Usuli,"[57, 97, 80, 42]"
Irish Catholic,[73]
Melkite Greek Catholic Church,"[66, 89, 93, 59, 65]"
Liberal Christianity,[76]
Catharism,[65]
Missionary Baptists,"[83, 32, 94]"
Greek Orthodox Christianity in Lebanon,"[71, 87, 68]"
Confucianism,"[73, 71, 63, 49, 47, 85, 44]"
Church of Christ (Latter Day Saints),"[34, 68]"
Cumberland Presbyterian Church,"[77, 84, 77]"
Walloon church,"[70, 59]"
Remonstrants,"[69, 48, 84, 60, 66, 67, 54, 95, 41, 48]"
Mostafai,[86]
Primitive Baptists,"[79, 85, 58, 85]"
Arya Samaj,[54]
Kashmiri Pandit,[85]
Unification Church,"[91, 75]"
Rinzai school,"[76, 74]"
Unitarian,"[70, 84, 58]"
Swedenborgian Church of North America,"[83, 61]"
Irreligion,"[76, 81, 82]"
Australian Aboriginal mythology,"[73, 62]"
Holiness movement,[43]
Maronites,"[66, 62, 68]"
Hanafi,"[83, 80]"
Church of God in Christ,[78]
Shinto,"[60, 55]"
Bulgarian Exarchate,"[43, 27, 31]"
Roman Catholicism in Australia,"[78, 90, 58]"
Glossary of Nazi Germany,[66]
Reformed Churches in the Netherlands,"[50, 85, 77, 73]"
Rosicrucian Fellowship,[92]
Wesleyanism,"[95, 91, 73, 74, 56, 63, 72, 78]"
Ordination,[75]
Old Catholic Church,"[81, 47, 67, 73]"
Spiritualism,"[81, 87, 76]"
Coptic Orthodox Church of Alexandria,"[75, 93]"
Five Houses of Chán,[70]
Christianism,[63]
Roman Catholicism in Albania,[50]
Franciscan,[79]
Lahore Ahmadiyya Movement for the Propagation of Islam,[80]
Christian Church,"[83, 72]"
Spiritism,"[92, 81]"
Moravian Church,"[78, 75]"
Nondenominational Christianity,"[86, 90, 62]"
Christianity in Sri Lanka,"[87, 62]"
Romanian Orthodox Church,"[39, 72, 31, 80, 59]"
Theosophy,"[78, 91, 77, 75, 58]"
Haitian Vodou,"[-1772, 79]"
Wesleyan Church,[58]
Bible Presbyterian Church,[96]
Byzantine Rite,[89]
Pure Land Buddhism,[94]
Vinaya,[94]
Catholic Apostolic Church,"[64, 73]"
Two by Twos,"[93, 90, 84]"
Reformed Church in the United States,[30]
The Salvation Army,[75]
Plymouth Church (Brooklyn),[75]
Roman Catholic (term),[95]
Dutch Reformed Church in South Africa (NGK),[66]
Reformed Churches in South Africa,[76]
Movement of Spiritual Inner Awareness,[80]
African Methodist Episcopal Church,"[86, 81, 78, 50]"
Primitive Methodism,[65]
Longhouse Religion,[62]
High church,"[50, 1762, 83]"
Christian Reformed Church in North America,"[80, 71]"
Texas,[69]
Coushatta Louisiana,[69]
Beaumont Texas,[69]
Douglas Fowler,[69]
American football,[69]
Bribery,[69]
Tax evasion,[69]
Dynasty,[69]
Rationalism,"[58, 68]"
Mennonite,"[70, 88, 63, 55]"
Anabaptists,[55]
Elim Pentecostal Church,[90]
Baptist beliefs,[87]
