Occupation,Lifespans
Orthodox Autocephalous Church of Albania,"[70, 69, 80, 38, 50, 63, 60, 59]"
Calvinistic Methodists,[92]
Dutch Reformed Church,"[63, 80, 60, 34, 63, 66, 57, 73, 87, 80, 68, 80, 59, 52, 83, 75, 78, 62, 83, 73, 66, 84, 70, 71, 54, 65, 81, 87, 62, 78, 74, 39, 44, 82, 53, 58, 72, 75, 54, 74, 64, 55, 73, 64, 65, 65, 71, 92, 59, 58, 76, 81, 88, 70, 75, 67, 76, 82, 59, 83]"
Orthodoxy,"[83, 73, 75, 61, 79]"
Catholic Church,"[62, 85, 27, 65, 48, 65, 34, 57, 98, 88, 65, 74, 74, 81, 86, 82, 40, 45, 78, 67, 33, 44, 87, 89, 78, 75, 72, 84, 72, 77, 83, 89, 78, 76, 58, 70, 73, 61, 83, 73, 87, 70, 85, 62, 56, 73, 78, 73, 92, 67, 78, 91, 85, 84, 61, 81, 69, 18, 73, 44, 36, 53, 69, 60, 76, 76, 68, 63, 74, 77, 83, 76, 84, 78, 49, 66, 55, 66, 77, 69, 45, 70, 82, 64, 82, 89, 59, 44, 66, 75, 89, 82, 96, 83, 89, 93, 70, 89, 53, 82, 91, 77, 67, 79, 52, 79, 88, 76, 67, 55, 68, 73, 81, 59, 77, 90, 60, 49, 80, 65, 72, 50, 57, 84, 53, 89, 79, 90, 57, 99, 76, 81, 91, 65, 91, 74, 87, 60, 56, 76, 69, 83, 62, 85, 71, 74, 78, 88, 88, 42, 66, 82, 74, 54, 65, 44, 53, 99, 65, 65, 89, 63, 80, 55, 58, 76, 82, 78, 82, 62, 63, 50, 63, 76, 69, 84, 64, 35, 88, 65, 72, 38, 87, 68, 95, 75, 64, 74, 60, 90, 72, 67, 84, 86, 76, 72, 89, 67, 79, 77, 76, 92, 88, 66, 81, 79, 67, 37, 24, 96, 65, 92, 65, 91, 60, 82, 68, 71, 67, 70, 81, 87, 70, 58, 50, 68, 77, 85, 43, 73, 79, 95, 64, 76, 88, 92, 75, 87, 70, 52, 79, 62, 73, 83, 60, 26, 69, 87, 73, 41, 71, 91, 59, 73, 66, 54, 91, 93, 62, 79, 96, 89, 88, 65, 52, 68, 74, 70, 90, 89, 90, 85, 65, 81, 69, 82, 49, 50, 60, 61, 69, 58, 54, 82, 38, 54, 74, 76, 71, 79, 82, 71, 77, 62, 50, 67, 88, 81, 80, 84, 63, 64, 79, 70, 70, 59, 66, 56, 57, 61, 78, 74, 87, 59, 74, 57, 69, 69, 61, 94, 77, 50, 82, 75, 31, 87, 52, 83, 71, 62, 88, 64, 73, 59, 62, 78, 72, 77, 94, 89, 60, 63, 76, 81, 74, 57, 90, 60, 67, 84, 51, 82, 79, 88, 62, 72, 77, 84, 54, 78, 69, 47, 79, 38, 58, 67, 56, 77, 91, 67, 81, 54, 61, 86, 71, 59, 56, 80, 22, 76, 76, 55, 24, 55, 86, 91, 59, 71, 75, 59, 82, 76, 87, 81, 86, 66, 55, 83, 45, 64, 53, 50, 92, 59, 88, 44, 36, 71, 74, 80, 58, 89, 64, 64, 79, 52, 89, 63, 90, 71, 94, 87, 78, 49, 66, 56, 59, 71, 48, 51, 77, 35, 66, 53, 63, 66, 53, 70, 82, 65, 74, 89, 91, 53, 82, 83, 65, 71, 66, 73, 54, 60, 64, 81, 71, 86, 70, 82, 83, 69, 83, 77, 77, 79, 66, 93, 44, 93, 72, 63, 87, 77, 87, 60, 90, 83, 88, 82, 62, 75, 73, 73, 73, 63, 83, 80, 69, 48, 71, 71, 68, 30, 70, 65, 75, 56, 74, 62, 94, 92, 68, 95, 47, 66, 59, 78, 97, 54, 80, 55, 64, 34, 76, 66, 88, 92, 86, 87, 55, 32, 66, 65, 94, 62, 79, 30, 88, 97, 95, 71, 31, 84, 71, 80, 61, 83, 72, 79, 29, 80, 92, 62, 54, 74, 78, 80, 76, 83, 93, 36, 54, 71, 69, 64, 69, 0, 90, 69, 77, 50, 72, 86, 91, 29, 76, 93, 74, 81, 67, 58, -1, 74, 70, 62, 70, 89, 80, 87, 77, 74, 69, 76, 81, 82, 1570, 76, 85, 91, 69, 69, 69, 70, 46, 67, 39, 72, 75, 83, 71, 72, 85, 79, 74, 82, 78, 91, 50, 81, 79, 83, 74, 64, 90, 87, 35, 46, 83, 50, 93, 77, 73, 81, 49, 78, 80, 61, 73, 95, 76, 50, 54, 76, 91, 42, 93, 69, 76, 76, 70, 50, 43, 65, 81, 79, 54, 76, 76, 82, 99, 76, 89, 96, 69, 59, 80, 67, 74, 77, 37, 93, 72, 62, 93, 86, 74, 69, 68, 74, 70, 86, 91, 60, 76, 91, 87, 81, 65, 75, 90, 53, 64, 83, 72, 60, 85, 54, 86, 96, 82, 77, 71, 71, 76, 80, 75, 83, 81, 70, 43, 65, 79, 92, 93, 54, 73, 78, 64, 52, 67, 90, 71, 81, 76, 74, 81, 63, 98, 78, 59, 63, 56, 79, 68, 70, 76, 69, 83, 60, 70, 68, 53, 79, 81, 82, 79, 84, 77, 68, 85, 74, 57, 55, 74, 71, 66, 91, 59, 58, 80, 73, 81, 74, 70, 66, 62, 69, 85, 74, 71, 64, 85, 71, 66, 73, 66, 76, 58, 68, 78, 53, 80, 80, 80, 53, 45, 46, 85, 75, 90, 69, 76, 68, 87, 80, 81, 47, 66, 62, 58, 80, 88, 57, 66, 85, 95, 78, 75, 58, 74, 67, 77, 77, 59, 58, 42, 85, 54, 29, 66, 84, 52, 79, 64, 81, 63, 75, 94, 95, 67, 90, 75, 76, 65, 60, 85, 72, 63, 41, 88, 43, 61, 71, 77, 87, 77, 81, 95, 81, 57, 79, 47, 69, 55, 66, 59, 82, 80, 57, 75, 78, 75, 61, 66, 58, 79, 48, 35, 62, 45, 83, 59, 86, 42, 84, 72, 77, 67, 70, 74, 67, 55, 77, 67, 70, 65, 81, 64, 77, 67, 52, 68, 79, 55, 66, 27, 71, 84, 45, 65, 30, 58, 83, 73, 85, 93, 80, 84, 62, 87, 82, 82, 87, 81, 83, 65, 83, 85, 58, 77, 69, 58, 88, 73, 73, 42, 63, 45, 93, 39, 66, 74, 89, 96, 73, 79, 87, 71, 86, 42, 60, 92, 73, 84, 75, 55, 51, 78, 48, 68, 86, 69, 65, 50, 74, 73, 69, 72, 70, 83, 72, 84, 77, 41, 83, 91, 27, 81, 65, 90, 68, 70, 64, 69, 57, 78, 89, 82, 62, 67, 72, 83, 68, 94, 82, 65, 58, 68, 73, 52, 92, 70, 74, 90, 105, 86, 62, 68, 74, 59, 68, 83, 75, 73, 47, 52, 72, 67, 31, 51, 81, 73, 61, 65, 77, 76, 65, 73, 76, 74, 75, 89, 87, 85, 57, 76, 89, 93, 87, 68, 68, 80, 64, 91, 75, 84, 72, 67, 78, 85, 80, 54, 87, 66, 79, 55, 82, 63, 67, 72, 55, 70, 84, 83, 85, 99, 75, 80, 87, 48, 88, 62, 75, 81, 67, 80, 68, 64, 37, 72, 28, 56, 86, 74, 66, 43, 73, 69, 61, 94, 94, 40, 96, 46, 60, 53, 65, 74, 90, 64, 83, 66, 65, 49, 95, 87, 60, 25, 53, 72, 79, 85, 70, 90, 40, 46, 56, 55, 107, 78, 56, 60, 84, 77, 76, 85, 69, 59, 46, 74, 71, 50, 72, 73, 75, 97, 58, 63, 76, 56, 70, 77, 74, 66, 66, 64, 76, 79, 90, 82, 68, 66, 101, 64, 70, 76, 57, 72, 39, 64, 82, 50, 54, 55, 45, 62, 63, 88, 82, 55, 87, 72, 75, 83, 74, 82, 74, 77, 83, 50, 63, 72, 53, 86, 62, 76, 68, 71, 72, 83, 64, 80, 25, 29, 61, 91, 77, 42, 37, 54, 84, 86, 70, 77, 88, 58, 88, 91, 82, 39, 66, 76, 77, 84, 57, 57, 88, 107, 83, 73, 48, 63, 59, 77, 83, 73, 32, 75, 69, 61, 77, 77, 82, 89, 76, 72, 72, 81, 36, 76, 25, 58, 0, 66, 59, 61, 60, 90, 74, 44, 51, 59, 60, 85, 77, 92, 82, 41, 52, 74, 80, 87, 76, 80, 86, 81, 72, 97, 78, 76, 73, 52, 31, 92, 71, 85, 27, 88, 74, 85, 79, 81, 71, 84, 75, 64, 52, 70, 67, 66, 92, 56, 71, 93, 77, 77, 74, 73, 85, 86, 88, 69, 50, 56, 72, 72, 72, 58, 57, 68, 70, 64, 69, 58, 87, 85, 73, 78, 90, 61, 84, 73, 73, 66, 77, 83, 88, 29, 66, 59, 58, 64, 95, 67, 90, 94, 67, 79, 90, 76, 43, 80, 34, 84, 79, 84, 61, 78, 59, 93, 62, 69, 77, 58, 81, 69, 80, 84, 90, 92, 87, 88, 72, 42, 83, 63, 80, 97, 55, 81, 70, 53, 41, 81, 73, 68, 79, 83, 75, 63, 81, 86, 55, 75, 86, 69, 60, 72, 65, 89, 90, 67, 60, 69, 75, 77, 78, 58, 89, 72, 83, 70, 69, 87, 74, 68, 91, 56, 82, 67, 77, 63, 68, 77, 89, 95, 69, 73, 97, 70, 71, 62, 81, 78, 85, 80, 46, 77, 71, 73, 64, 70, 70, 71, 71, 62, 47, 94, 74, 89, 71, 83, 82, 88, 83, 73, 57, 43, 84, 81, 46, 62, 60, 68, 66, 68, 80, 78, 81, 40, 93, 87, 92, 82, 59, 87, 81, 65, 86, 40, 80, 72, 72, 75, 78, 64, 73, 88, 35, 74, 56, 80, 81, 81, 35, 79, 75, 1515, 73, 51, 102, 61, 63, 91, 66, 80, 62, 92, 84, 70, 59, 63, 73, 82, 45, 64, 67, 60, 73, 65, 89, 57, 78, 70, 76, 60, 82, 60, 90, 83, 69, 85, 79, 66, 87, 81, 71, 58, 73, 76, 51, 83, 43, 50, 87, 79, 52, 28, 49, 56, 60, 78, 39, 47, 74, 66, 88, 73, 81, 64, 83, 90, 67, 83, 60, 77, 64, 78, 78, 69, 77, 77, 73, 64, 56, 65, 91, 77, 74, 51, 53, 97, 79, 91, 73, 64, 101, 78, 69, 67, 91, 62, 67, 58, 69, 66, 70, 73, 87, 77, 68, 35, 64, 41, 70, 73, 86, 80, 75, 85, 45, 72, 69, 91, 86, 82, 79, 74, 80, 65, 69, 79, 63, 72, 89, 69, 83, 76, 85, 81, 58, 69, 84, 75, 74, 54, 87, 75, 85, 77, 75, 81, 88, 69, 86, 82, 62, 85, 88, 60, 57, 81, 74, 70, 89, 77, 61, 68, 58, 45, 86, 98, 39, 86, 48, 60, 73, 82, 82, 62, 74, 83, 72, 36, 100, 100, 87, 60, 68, 98, 70, 77, 80, 40, 77, 62, 76, 89, 84, 49, 60, 58, 56, 68, 84, 75, 55, 48, 67, 82, 68, 68, 72, 74, 79, 69, 82, 92, 47, 86, 64, 64, 85, 70, 80, 78, 51, 72, 80, 66, 62, 70, 79, 92, 74, 80, 74, 58, 84, 76, 75, 69, 72, 62, 81, 70, 74, 88, 63, 59, 67, 73, 84, 98, 60, 26, 75, 95, 78, 63, 69, 70, 104, 64, 64, 83, 97, 79, 61, 52, 89, 88, 80, 87, 59, 62, 82, 70, 71, 74, 105, 71, 82, 70, 84, 86, 94, 83, 83, 88, 74, 67, 79, 52, 77, 91, 88, 76, 72, 45, 83, 85, 70, 85, 78, 87, 63, 68, 77, 61, 87]"
Judaism,"[70, 99, 90, 81, 71, 90, 86, 89, 82, 65, 56, 56, 92, 84, 45, 95, 82, 70, 59, 84, 63, 93, 70, 68, 60, 88, 90, 73, 83, 23, 64, 114, 78, 76, 84, 72, 91, 101, 70, 73, 68, 87, 85, 0, 80, 73, 75, 74, 92, 89, 97, 43, 78, 79, 51, 77, 77, 81, 93, 92, 40, 65, 79, 70, 69, 84, 71, 83, 86, 89, 75, 94, 43, 52, 49, 74, 20, 88, 65, 91, 79, 88, 88, 72, 27, 71, 54, 89, 78, 94, 52, 80, 71, 72, 59, 67, 78, 62, 76, 78, 43, 78, 52, 88, 75, 74, 82, 79, 60, 90, 81, 80, 63, 77, 77, 91, 86, 91, 72, 83, 56, 75, 55, 33, 64, 89, 96, 65, 75, 34, 66, 50, 82, 65, 75, 67, 87, 55, 76, 68, 89, 67, 92, 64, 62, 68, 69, 90, 82, 70, 81, 90, 85, 78, 93, 94, 94, 78, 88, 94, 68, 83, 101, 63, 99, 73, 76, 65, 93, 81, 85, 72, 58, 87, 45, 59, 91, 58, 67, 83, 68, 83, 70, 76, 78, 64, 86, 74, 37, 93, 83, 64, 61, 69, 78, 77, 72, 82, 106, 79, 91, 33, 73, 91, 63, 77, 97, 89, 76, 52, 86, 77, 58, 0, 79, 82, 60, 75, 91, 94, 80, 65, 68, 73, 81, 95, 87, 92, 95, 69, 74, 48, 75, 97, 89, 115, 81, 84, 49, 98, 62, 74, 59, 48, 84, 85, 88, 63, 85, 86]"
Catholicism,"[77, 86, 61, 56, 129, 62, 43, 74, 83, 78, 80, 66, 88, 66, 82, 73, 39, 64, 99, 66, 83, 93, 51, 52, 74, 68, 91, 29, 37, 70, 32, 75, 51, 69, 62, 79, 61, 68, 69, 66, 83, 79, 91, 56, 77, 79, 82, 59, 73, 71, 70, 72, 65, 95, 57, 70, 55, 69, 22, 69, 65, 75, 85, 74, 88, 98, 57, 59, 91, 51, 63, 62, 59, 50, 31, 67, 23, 79, 76, 81, 82, 58, 62, 58, 64, 64, 81, 62, 49, 29, 59, 93, 68, 78, 69, 38, 48, 85, 64, 44, 89, 76, 25, 44, 34, 83, 61, 37, 77, 69, 56, 44, 75, 69, 70, 48, 74, 46, 50, 94, 74, 81, 82, 80, 93, 66, 99, 86, 88, 33, 78, 1622, 78, 83, 83, 37, 57, 95, 77, 42, 72, 60, 87, 86, 49, 96, 85, 76, 64, 62, 77, 70, 70, 65, 41, 87, 45, 80, 58, 66, 82, 82, 94, 80, 77, 44, 32, 79, 68, 91, 44, 91, 75, 66, 103, 57, 105, 75, 64, 77, 77, 63, 50, 64]"
Russian Orthodox Church,"[83, 62, 59, 54, 74, 65, 54, 68, 94, 64, 79, 76, 86, 80, 47, 52]"
Baptists,"[76, 95, 52, 81, 73, 71, 63, 75, 69, 87, 57, 91, 81, 81, 86, 60, 68, 79, 87, 79, 74, 62, 81, 86, 88, 78, 84, 61, 82, 69, 75, 90, 55, 79, 86, 68, -1, 92, 84, 73, 90, 76, 48, 85, 88, 93, 66, 96, 73, 78, 82, 73, 85, 95, 59, 78, 86, 84, 70, 68, 79, 87, 64, 69, 87, 79, 91, 78, 66, 92, 86, 96, 55, 68, 67, 70, 70, 86, 42, 62, 84, 76, 59, 50, 98, 86, 90, 90, 61, 74, 81, 80, 66, 67, 65, 88, 74, 48, 84, 99, 71, 52, 56, 71, 74, 10, 79, 78, 75, 62, 83, 80, 73, 66, 82, 66, 47, 77, 72, 74, 66, 84, 80, 91, 85, 97, 89, 86, 78, 96, 78, 97, 97, 81, 72, 90, 89, 81, 74, 65, 81, 94, 69, 64, 77, 76, 86, 81, 88, 85, 76, 73, 68, 82, 94, 48, 82, 18, 85, 75, 75, 92, 84, 73, 88, 77, 82, 70, 79, 67, 66, 64, 93, 92, 70, 83, 80, 69, 67, 63, 88, 85, 85, 82, 104, 62, 75, 76, 76, 71, 42, 68, 72, 78, 45, 51, 81, 82, 95, 51, 78, 88, 78, 65, 73, 91, 68, 63, 84, 32, 65, 85, 63, 60, 62, 76, 73, 95, 72, 84, 99, 83, 63, 86, 79, 79, 85, 81, 80, 85, 74, 72, 81, 74, 63, 75, 76, 55, 78, 77, 84, 70, 103, 92, 69, 73, 82, 60, 87, 74, 71, 64, 79]"
Greek Orthodox Church,"[61, 55, 94, 78, 79, 78, 67, 70, 93, 38, 88, 82, 66, 51, 49, 100, 69, 75, 60, 65, 90, 50, 55, 83, 72, 77, 76, 62, 86, 66, 32]"
